"date", "a.mass", "a.fat", "a.water", "a.musc", "a.gym", "b.mass", "b.fat", "b.water", "b.musc", "b.gym"
2011-08-08, 77.8, 29.6,     , 36.0, 1, 56.6, 25.9,     , 38.5, 1
2011-08-09, 78.2, 30.7,     , 35.8, 1, 56.6, 27.2,     , 37.9, 1
2011-08-10, 77.6, 27.3,     , 36.9, 1, 56.2, 26.8,     , 38.0, 1
2011-08-11, 77.1, 29.3,     , 36.1, 1, 56.3, 27.2,     , 37.8, 0
2011-08-12, 77.0, 29.0,     , 36.2, 0, 56.2, 28.8,     , 36.7, 0
2011-08-13, 76.9, 28.8,     , 36.4, 1, 56.2, 27.2,     , 37.8, 1
2011-08-14, 76.7, 28.7,     , 36.5, 1, 56.3, 27.0,     , 37.9, 1
2011-08-15, 76.4, 28.9, 47.6, 36.5, 0, 55.8, 26.2, 53.4, 38.3, 0
2011-08-16, 76.5, 28.1, 48.4, 36.7, 0, 55.8, 25.5, 53.9, 38.8, 0
2011-08-17, 77.1, 27.5, 48.4, 36.9, 1, 56.0, 25.9, 53.6, 38.4, 0
2011-08-18, 76.7, 27.6, 48.4, 36.9, 0, 56.1, 26.7, 53.0, 37.9, 0
2011-08-19, 76.2, 27.7, 48.4, 36.9, 0, 56.1, 26.2, 53.5, 38.3, 0
2011-08-20, 77.2, 27.3, 48.6, 37.1, 0, 56.4, 25.5, 54.0, 39.2, 0
2011-08-21, 77.4, 25.0, 49.8, 37.9, 1, 56.8, 24.3, 55.2, 39.7, 1
2011-08-22, 76.7, 26.5, 49.0, 37.3, 0, 56.2, 25.3, 54.1, 39.2, 0
2011-08-23, 76.9, 25.1, 49.9, 37.9, 0, 56.5, 24.2, 55.2, 39.7, 0
2011-08-24, 76.9, 27.6, 48.4, 36.9, 1, 56.1, 25.4, 54.0, 38.1, 1
2011-08-25, 77.0, 26.3, 49.0, 37.5, 0, 56.0, 25.2, 54.3, 39.3, 0
2011-08-26, 76.3, 28.4, 48.4, 36.7, 1, 55.8, 25.5, 54.1, 39.2, 1
2011-08-27, 76.4, 28.8, 47.8, 36.5, 1, 55.6, 25.7, 54.0, 38.7, 0
2011-08-28, 76.5, 25.0, 49.8, 37.9, 1, 55.8, 26.1, 53.5, 38.4, 0
2011-08-29, 76.5, 25.1, 49.9, 37.9, 1, 56.2, 24.7, 54.6, 39.3, 0
2011-08-30, 76.0, 25.3, 49.8, 37.9, 0, 56.5, 24.9, 54.5, 39.3, 0
